	index	oldIndex	journal	title	text	year	lang	type	region	PMID	url	key	contentId
70	70	132	Tropical doctor	Cartridge-based nucleic acid amplification test: a novel rapid diagnostic tool to study the burden of tuberculosis from a tertiary care hospital.	Despite efforts to limit the morbidity and mortality from tuberculosis (TB), it continues to be an important cause of death. There is an urgent need for a diagnostic test that accurately and quickly diagnoses TB, especially if it is also a near-point-of-care test. The GeneXpert polymerase chain reaction test (known in India as CBNAAT [cartridge-based nucleic acid amplification test] and is capable of diagnosing TB and rifampicin resistance within 2 h) is a promising tool. The duration of our study was two years and was carried out in the DOTS centre of a tertiary care hospital in India. A total of 5449 samples were processed using CBNAAT. Of the total samples tested, 2068 were extra-pulmonary. The following information was collected: number of extra-pulmonary samples processed; number of 	2019	eng	Journal Article	England	31291848	https://www.ncbi.nlm.nih.gov/pubmed/31291848	tuberculosis	787067277772219433
71	71	252	Frontiers in human neuroscience	Response to Commentary: Efficacy and Safety of Transcranial Direct Current Stimulation as an Add-on Treatment for Bipolar Depression: A Randomized Clinical Trial.	 	2019	eng	Comment	Switzerland	31312128	https://www.ncbi.nlm.nih.gov/pubmed/31312128	depression	-2778760500673113802
72	72	261	American journal of translational research	Insulin treatment enhances pseudomonas aeruginosa biofilm formation by increasing intracellular cyclic di-GMP levels, leading to chronic wound infection and delayed wound healing.	Diabetes-related infections have become challenging and important public health problems in China and around the world. 	2019	eng	Journal Article	United States	31312343	https://www.ncbi.nlm.nih.gov/pubmed/31312343	diabetes	-6725796505137573953
73	73	50	World journal for pediatric & congenital heart surgery	Right Ventricular Morphology Is Associated With Mortality at All Stages of Single Ventricle Palliation.	 	2019	eng	Journal Article	United States	31307298	https://www.ncbi.nlm.nih.gov/pubmed/31307298	heart+disease	1457728991321948254
74	74	663	JAMA otolaryngology-- head & neck surgery	Association of Midlife Hearing Impairment With Late-Life Temporal Lobe Volume Loss.	The findings suggest that midlife HI is a risk factor for temporal lobe volume loss. Poorer midlife hearing, particularly in the right ear, was associated with declines in hippocampus and entorhinal cortex.	2019	eng	Journal Article	United States	31268512	https://www.ncbi.nlm.nih.gov/pubmed/31268512	Alzheimer	-7101541512657907485
75	75	283	Journal of translational medicine	Personalizing the safe, appropriate and effective concentration(s) of ozone for a non-diabetic individual and four type II diabetic patients in autohemotherapy through blood hemoglobin analysis.	A number of techniques were used to determine the personalized ozone concentration(s) for a safe and effective autohemotherapy based on blood hemoglobin analysis. SDS-PAGE and dynamic light scattering were identified as the two main techniques needed for personalizing the ozone concentration(s) for each individual as otherwise hemoglobin in blood can oligomerise and cause serious damage if the inappropriate ozone concentration is used.	2019	eng	Journal Article	England	31311548	https://www.ncbi.nlm.nih.gov/pubmed/31311548	diabetes	5281570276277574938
76	76	551	Journal of hematology & oncology	Genomic landscape and its correlations with tumor mutational burden, PD-L1 expression, and immune cells infiltration in Chinese lung squamous cell carcinoma.	The combination of TMB, PD-L1 expression, immune infiltrates, and smoking status showed the feasibility to subgroup stratification in Chinese patients with early-stage LUSC, which might be helpful for future design of personalized immunotherapy trials in LUSC.	2019	eng	Journal Article	England	31299995	https://www.ncbi.nlm.nih.gov/pubmed/31299995	smoking	1128840733277618400
77	77	531	Sleep health	Association of sleep characteristics with cardiovascular health among women and differences by race/ethnicity and menopausal status: findings from the American Heart Association Go Red for Women Strategically Focused Research Network.	Better sleep habits were associated with more favorable CVH among women, suggesting that there may be benefit in incorporating sleep assessment into CVD risk screening.	2019	eng	Journal Article	United States	31302068	https://www.ncbi.nlm.nih.gov/pubmed/31302068	smoking	-7356135999773525293
78	78	622	JAMA surgery	Factors Associated With Lymphedema in Women With Node-Positive Breast Cancer Treated With Neoadjuvant Chemotherapy and Axillary Dissection.	In this study, longer NAC duration and obesity were associated with increased lymphedema incidence, suggesting that patients in these groups may benefit from enhanced prospective lymphedema surveillance.	2019	eng	Journal Article	United States	31314062	https://www.ncbi.nlm.nih.gov/pubmed/31314062	obesity	2313825045587317872
79	79	362	The American journal of orthopsychiatry	Compassionate meditation to heal from race-related stress: A pilot study with Asian Americans.	Racism and race-related stress can negatively impact the mental health status of ethnic minorities. In recent years, college campuses have held demonstrations to promote awareness regarding racism and to call for resources to help improve campus climate and to address the needs of students of color. This study answers this call by developing and evaluating the benefits of a peer-led compassionate meditation program to help students of color heal from race-related stress. To date, no studies have examined whether compassionate meditation (a specific type of meditation) can be used as a therapeutic tool to address racial stress. This article discusses the formative process for developing and pilot-testing the effects of this culturally responsive 8-session compassionate meditation program with Asian American college students. Despite a small sample size, results were promising. and participants evidenced decreases in general distress, as well as depression, anxiety, and PTSD symptoms. Moreover, by the end of the program, fewer students were clinically depressed. The results of this study provide some initial evidence that brief, culturally responsive compassionate meditation interventions may be a promising and cost-effective method for addressing the impact of racism and race-related stress. (PsycINFO Database Record (c) 2019 APA, all rights reserved).	2019	eng	Journal Article	United States	31305116	https://www.ncbi.nlm.nih.gov/pubmed/31305116	depression	-518690781085251687
80	80	153	Enfermeria clinica	Family acceptance, peer support, and HIV serostatus disclosure of MSM-PLWHA in Medan, Indonesia.	Peer support affects HIV serostatus disclosure in MSM-PLWHA. Peer group interventions need to be improved. Providing systematic peer group support for MSM-PLWHA and integrating intervention with peer support might need to be done for the next care plan for MSM-PLWHA in Medan, Indonesia.	2019	spa	Journal Article	Spain	31303520	https://www.ncbi.nlm.nih.gov/pubmed/31303520	HIV	3067875254349597654
81	81	258	Enfermeria clinica	Framework analysis: A worked example from a midwifery research.	The details of each stage of the analysis were explained to guide researchers through essential steps in undertaking framework analysis. Health care researchers may find a worked example addressed in this paper as useful when analyzing qualitative data.	2019	spa	Journal Article	Spain	31311739	https://www.ncbi.nlm.nih.gov/pubmed/31311739	depression	5619251370090681244
82	82	286	Stem cells and development	Expansion and Maintenance of CD133-Expressing Pancreatic Ductal Epithelial Cells via Inhibition of Transforming Growth Factor-β Signaling.	Restoring β-cell mass by the transplantation of pancreatic islets is an effective diabetes treatment, but it is limited by the shortage of donor organs. CD133-expressing pancreatic ductal epithelial cells (PDECs) have the ability to generate insulin-producing cells. The expansion of these cells is dependent on extrinsic niche factors, but few of those signals have been identified. In this study, CD133-expressing PDECs were purified by sorting from adult wild-type C57BL/6 mice and TGFβRIInull/null mice. Furthermore, using immunofluorescence and transplantation assays, we found that the inhibition of the TGF-β pathway promoted the expansion of CD133-expressing PDECs for many generations and maintained the ability of CD133-expressing PDECs to generate insulin-producing cells. Moreover, western blot, qRT-PCR, and dual luciferase assays using TGF-β inhibitors were performed to identify the mechanisms by which TGF-β signaling regulates proliferation and differentiation. The results showed that the inhibition of TGF-β signaling enhanced Id2 binding to the promoter region of the cell proliferation repressor p16 and promoted the expansion of CD133-expressing PDECs, and the increased Id2 binding to NeuroD1 decreased the transcription of Pax6 to maintain CD133-expressing PDECs in the Pdx1-expression stage. Taken together, the effect of TGF-β antagonists on CD133-expressing PDECs reveals a novel paradigm of signaling that explains the balance between the expansion and differentiation of pancreatic duct epithelial progenitors.	2019	eng	Journal Article	United States	31311463	https://www.ncbi.nlm.nih.gov/pubmed/31311463	diabetes	7420742904084384944
83	83	72	Acta dermato-venereologica	Solar Lentigines are Associated with Better Outcome in Cutaneous Melanoma.	The rising incidence of cutaneous melanoma and its stable high mortality rates despite innovative cancer care, require better prediction of the clinical outcome. In a large cutaneous melanoma population we explored whether the known clinical risk factors for melanoma susceptibility (nevus phenotype, phototype, family and personal history of melanoma and sun damage) affect melanoma outcomes. A total of 1,530 melanoma patients were included. Multivariable analysis adjusted for age, gender, melanoma stage, localization and subtype showed that familial melanoma, solar lentigines on head and neck, the back of hands, arms and shoulders were associated with a better relapse free survival. The presence of atypical naevi was associated with an increased risk of relapse. After Bonferroni correction, the correlation between presence of solar lentigines on the back of the hands and arms remained the most robust and significant prognostic factor for the relapse free survival in cutaneous melanoma patients.	2019	eng	Journal Article	Sweden	31314121	https://www.ncbi.nlm.nih.gov/pubmed/31314121	cancer	8219310215587599928
84	84	111	NeuroImage. Clinical	Impact of chronic migraine attacks and their severity on the endogenous μ-opioid neurotransmission in the limbic system.	Increased endogenous μ-opioid receptor-mediated neurotransmission is seen in the limbic system of CM patients, especially in right amygdala, which is highly modulated by the attack frequency, pain severity, and sensitivity. This study demonstrates for the first time the negative impact of chronification and exacerbation of headache attacks on the endogenous μ-opioid mechanisms of migraine patients. ClinicalTrials.gov identifier: NCT03004313.	2019	eng	Journal Article	Netherlands	31279240	https://www.ncbi.nlm.nih.gov/pubmed/31279240	headache	7748594134538052724
85	85	331	Dementia and geriatric cognitive disorders	Validity and Utility of the Center for Epidemiological Studies Depression Scale for Detecting Depression in Family Caregivers of Persons with Dementia.	CES-D is a valid and reliable scale for detecting caregiver depression in dementia. It has added utility, beyond that of a caregiver burden scale, in identifying a subgroup of caregivers with depression but not burden. However, two subscales (Positive affect and Interpersonal problems) may require caution in interpretation among non-Caucasian caregivers.	2019	eng	Journal Article	Switzerland	31307034	https://www.ncbi.nlm.nih.gov/pubmed/31307034	depression	-4186591400427142356
86	86	727	Molecular and biochemical parasitology	Hookworm infection aggravates metabolic disorder in obesity.	Obesity and ancylostomiasis are considered public health problems. Recent studies have shown that infection by intestinal helminths in obese individuals can ameliorate metabolic disorder and improve glucose tolerance by decreasing both insulin resistance and low-intensity inflammation. However, few helminth species have been studied in this context, and some modulation mechanisms still require deeper investigation. Therefore, the present work aimed to investigate the role of experimental infection with Ancylostoma ceylanicum in the modulation of the immune response in an obese experimental model. Four groups of hamsters were used as follows: two groups were submitted to a hyperlipidic and hypercaloric diet capable of inducing obesity, one infected and the other uninfected; and two normonourished control groups, one infected and one uninfected by A. ceylanicum. Biochemical, haematological, parasitological and immunological parameters were evaluated. The results demonstrated that A. ceylanicum infection accentuated weight loss in obese animals compared to normonourished animals. However, obesity reduced the recovery of worms and oviposition of the females, and both infected groups showed decreased levels of haemoglobin, albumin, iron and erythrocytes. Significant relations were observed for pathogenesis in the following cases: infection interfered in lipid metabolism, which increased levels of total cholesterol and triglycerides in the obese group, and caused a decrease in HDL levels in both groups. Obesity led to an increase in glucose levels, and the infection exacerbated this parameter in both the normonourished and obese groups. Inflammation was intensified in obese animals that showed elevated macrophage and neutrophil activation in adipose tissue, enlargement of the spleen and accumulation of lipids in the liver and faeces. Despite the decrease in IFN-γ levels, the infection did not potentiated the expression of the Foxp3, IL-10 and IL-2 transcription factor for any of the infected groups, markers that could positively compensate the host from the damage caused by obesity.	2019	eng	Journal Article	Netherlands	31306675	https://www.ncbi.nlm.nih.gov/pubmed/31306675	obesity	8565115980515859979
87	87	530	Medicine	Erratum: Risk of sudden sensorineural hearing loss in stroke patients: A 5-year nationwide investigation of 44,460 patients: Erratum.	[This corrects the article DOI: 10.1097/MD.0000000000004841.].	2017	eng	Published Erratum	United States	31305750	https://www.ncbi.nlm.nih.gov/pubmed/31305750	stroke	8082202054464515448
88	88	638	American journal of Alzheimer's disease and other dementias	Immediate Benefit of Art on Pain and Well-Being in Community-Dwelling Patients with Mild Alzheimer's.	Our results revealed that both painting and singing interventions provide an immediate benefit on the patients' well-being.	2019	eng	Journal Article	United States	31288544	https://www.ncbi.nlm.nih.gov/pubmed/31288544	Alzheimer	-5973686110278905367
89	89	341	Biological trace element research	Effect of a Prolonged Dietary Iron Intake on the Gene Expression and Activity of the Testicular Antioxidant Defense System in Rats.	Despite the fact that iron represents a crucial element for the catalysis of many metabolic reactions, its accumulation in the cell leads to the production of reactive oxygen species (ROS), provoking pathological conditions such as cancer, cardiovascular diseases, diabetes, neurodegenerative diseases, and fertility. Thus, ROS are neutralized by the enzymatic antioxidant system for the purpose of protecting cells against any damage. Iron is a potential risk factor for male fertility. However, the mechanism of action of iron on the testicular antioxidant system at the gene and protein levels is not fully understood. Thus, the purpose of the current research was to ensure a better understanding of how the long-term iron treatment influences both gene expression and enzyme activities of the testicular antioxidant system in rat testis. The data of our study showed that a significant dose-dependent increase occurred in the iron level in rat testis. A reduction occurred in reduced glutathione (GSH) levels, which represent a marker of oxidative stress, along with long-term iron overload. The expression and activity of glucose 6-phosphate dehydrogenase (G6pd), glutathione reductase (Gr), glutathione peroxidase (Gpx), and glutathione S-transferases (Gst) were significantly affected by the presence of iron. The findings of the current research demonstrate that the long-term toxic dietary iron overload influences the gene expression and enzyme activity of the testicular antioxidant defense system, but the actual effect occurs at the protein level. This may modify the sperm function and dysfunction of the male reproductive system.	2019	eng	Journal Article	United States	31309445	https://www.ncbi.nlm.nih.gov/pubmed/31309445	diabetes	-9172673334835262304
90	90	325	Comparative immunology, microbiology and infectious diseases	A simplified roller bottle platform for the production of a new generation VLPs rabies vaccine for veterinary applications.	Rabies is a neglected disease with an estimated annual mortality of 55,000 human deaths, affecting mainly low-income countries. Over 95% of these cases result from virus transmission through the bite of infected dogs and for this reason there is a real need for a cheap and effective rabies veterinary vaccine to be used in mass vaccination campaigns. In this work, we describe the establishment of a simple platform for the production of a virus-like particles based rabies vaccine using mammalian cells and roller bottles as culture system. Adherent cells were cultured during more than 15 days and VLPs were continuously produced and secreted to the culture supernatant. Immunogenicity and protective efficacy of VLPs were tested through rabies virus neutralizing antibody test and NIH potency test. These viral particles induced high titer of long lasting neutralizing antibodies and protected mice against active virus challenge. Therefore, this development represents a promising platform for the production of a new generation and virus-free rabies vaccine candidate for veterinary applications.	2019	eng	Journal Article	England	31300130	https://www.ncbi.nlm.nih.gov/pubmed/31300130	vaccine	-1039912738963181810
91	91	765	Journal of anaesthesiology, clinical pharmacology	Effect of intravenous versus intraperitoneal magnesium sulfate on hemodynamic parameters and postoperative analgesia during laparoscopic sleeve gastrectomy-A prospective randomized study.	The IV and IP administration of MgSo	2019	eng	Journal Article	India	31303716	https://www.ncbi.nlm.nih.gov/pubmed/31303716	obesity	3172866488852888544
92	92	278	Primary care diabetes	Development and evaluation educational videos of diabetic foot care in traditional languages to enhance knowledge of patients diagnosed with diabetes and risk for diabetic foot ulcers.	This study produced an educational video that used the trans-cultural approach by using traditional languages to overcome the communication barrier in the process of knowledge transfer. We found that the educational video in traditional languages enhanced the patients' knowledge about diabetic foot care and thus could enable them to detect the risks for DFU and prevent DFU.	2019	eng	Journal Article	England	31311727	https://www.ncbi.nlm.nih.gov/pubmed/31311727	diabetes	8095004770374551394
93	93	433	The Journal of asthma : official journal of the Association for the Care of Asthma	Impact of allergies on health-related quality of life in patients with asthma.		2019	eng	Journal Article	England	31311356	https://www.ncbi.nlm.nih.gov/pubmed/31311356	smoking	8801106199759296338
94	94	189	Enfermeria clinica	Utilization of interactive educational media in improving self efficacy of lung tuberculosis patients: Systematic literature review.	Innovative strategies are needed in an effort to improve self-efficacy. The number of media can be a reference for health workers in implementing a tuberculosis treatment program that will enhance client self-efficacy.	2019	spa	Journal Article	Spain	31277933	https://www.ncbi.nlm.nih.gov/pubmed/31277933	tuberculosis	-4760639635023250284
95	95	174	Frontiers in microbiology	On the Impact of the Pangenome and Annotation Discrepancies While Building Protein Sequence Databases for Bacteria Proteogenomics.	In proteomics, peptide information within mass spectrometry (MS) data from a specific organism sample is routinely matched against a protein sequence database that best represent such organism. However, if the species/strain in the sample is unknown or genetically poorly characterized, it becomes challenging to determine a database which can represent such sample. Building customized protein sequence databases merging multiple strains for a given species has become a strategy to overcome such restrictions. However, as more genetic information is publicly available and interesting genetic features such as the existence of pan- and core genes within a species are revealed, we questioned how efficient such merging strategies are to report relevant information. To test this assumption, we constructed databases containing conserved and unique sequences for 10 different species. Features that are relevant for probabilistic-based protein identification by proteomics were then monitored. As expected, increase in database complexity correlates with pangenomic complexity. However, 	2019	eng	Journal Article	Switzerland	31281302	https://www.ncbi.nlm.nih.gov/pubmed/31281302	tuberculosis	-9137036168156595470
96	96	342	Canadian journal of public health = Revue canadienne de sante publique	Assessment of the Air Quality Health Index (AQHI) and four alternate AQHI-Plus amendments for wildfire seasons in British Columbia.	Individuals with common respiratory conditions such as asthma and chronic obstructive pulmonary disease are particularly susceptible to wildfire smoke. As such, the 1-h PM	2019	eng	Journal Article	Switzerland	31286460	https://www.ncbi.nlm.nih.gov/pubmed/31286460	asthma	-454649054276160610
97	97	756	The Journal of the Association of Physicians of India	Association of Genetic Non-alcoholic Fatty Liver Disease with Insulin Resistance-Are we Different?	The presence of the PNPLA3 G allele is associated with a risk of NAFLD. Our study shows that subjects with variant PNPLA3 are not only at increased risk for the development and progression of NAFLD, but also have increased insulin resistance.	2019	eng	Journal Article	India	31304703	https://www.ncbi.nlm.nih.gov/pubmed/31304703	obesity	-36844712915106340
98	98	489	Medicine	Tobacco smoke exposure and the risk of childhood acute lymphoblastic leukemia and acute myeloid leukemia: A meta-analysis.	Maternal smoking before, during, or after pregnancy was not associated with childhood ALL or AML. However, paternal smoking was related to a significantly elevated risk of childhood ALL during pregnancy, but not for AML. Maternal daily smoking consumption was not associated with ALL or AML during pregnancy. The higher consumption of paternal smoking were, the higher the risk of childhood ALL or AML.	2019	eng	Journal Article	United States	31305478	https://www.ncbi.nlm.nih.gov/pubmed/31305478	smoking	5333141914314968598
99	99	321	Vaccine	Persistence of immunity to conjugate and polysaccharide pneumococcal vaccines in frail, hospitalised older adults in long-term follow up.	While ELISA responses in both study arms remained high 6 years post-vaccination, considerable waning was observed by OPA in both study arms, which should be considered given the current single-dose recommendation in Australia. Further research is needed to inform pneumococcal vaccine recommendations in people over the age of 65.	2019	eng	Journal Article	Netherlands	31300288	https://www.ncbi.nlm.nih.gov/pubmed/31300288	vaccine	-8248141950199177506
100	100	186	Biophysical reviews	Summary of case study lecture at Biophysics and Structural Biology at Synchrotrons Workshop Triumph over Adversity: structure of arylamine N-acetyltransferase from M. tuberculosis.	 	2019	eng	Letter	Germany	31278589	https://www.ncbi.nlm.nih.gov/pubmed/31278589	tuberculosis	-5431549861280885742
101	101	166	Pakistan journal of medical sciences	Ametropia in children with headache.	A significant proportion of children with ametropia have initial symptoms of headache. Any child with un-explained headache must undergo ophthalmic evaluation to diagnose refractive error, if any.	2019	eng	Journal Article	Pakistan	31258579	https://www.ncbi.nlm.nih.gov/pubmed/31258579	headache	1003778007373126185
102	102	219	Frontiers in immunology	Recalling the Future: Immunological Memory Toward Unpredictable Influenza Viruses.	Persistent and durable immunological memory forms the basis of any successful vaccination protocol. Generation of pre-existing memory B cell and T cell pools is thus the key for maintaining protective immunity to seasonal, pandemic and avian influenza viruses. Long-lived antibody secreting cells (ASCs) are responsible for maintaining antibody levels in peripheral blood. Generated with CD4	2019	eng	Review	Switzerland	31312199	https://www.ncbi.nlm.nih.gov/pubmed/31312199	vaccine	-1060990524105135617
103	103	40	Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences	[Intracranial Rosai-Dorfman disease in a child: A case report and literature review].	颅内Rosai-Dorfman病(Rosai-Dorfman disease，RDD)是一类临床罕见的组织细胞增生性疾病。中南大学湘雅医院收治1例12岁颅内RDD患儿，主诉为头痛、头晕1个月，行肿瘤全切除手术，术后应用激素及化学药物治疗。随访8个月，病情稳定，未见肿瘤复发。对于此类肿瘤且有进展趋势者，应用立体定向活检术有助于明确诊断及手术方案的选择(如骨瓣取舍等)。本病以手术干预为主，辅以放射治疗、化学药物治疗及激素治疗等方案，且手术应在不影响神经功能的情况下力求全切肿瘤。.	2019	chi	Journal Article	China	31303626	https://www.ncbi.nlm.nih.gov/pubmed/31303626	headache	-9100490342054218852
104	104	156	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	Astragalus polysaccharide ameliorates lipopolysaccharide-induced cell injury in ATDC5 cells via miR-92a/KLF4 mediation.	The present study reveals that APS protects ATDC5 cells against LPS induced-injury by regulation of miR-92a/KLF4 axis and suppressing NF-κB and p38MAPK signal pathways.	2019	eng	Journal Article	France	31302422	https://www.ncbi.nlm.nih.gov/pubmed/31302422	aging	4121807259563748287
105	105	44	PloS one	Image processing for AFB segmentation in bacilloscopies of pulmonary tuberculosis diagnosis.	Image segmentation applied to medical image analysis is still a critical and important task. Although there exist several segmentation algorithms that have been widely studied in literature, these are subject to segmentation problems such as over- and under-segmentation as well as non-closed edges. In this paper, a simple method that combines well-known segmentation algorithms is presented. This method is applied to detect acid-fast bacilli (AFB) in bacilloscopies used to diagnose pulmonary tuberculosis (TB). This diagnosis can be performed through different tests, and the most used worldwide is smear microscopy because of its low cost and effectiveness. This diagnosis technique is based on the analysis and counting of the bacilli in the bacilloscopy observed under an optical microscope. The proposed method is used to segment the bacilli in digital images from bacilloscopies processed using Ziehl-Neelsen (ZN) staining. The proposed method is fast, has a low computational cost and good efficiency compared to other methods. The bacilli image segmentation is performed by image processing and analysis techniques, probability concepts and classifiers. In this work, a Bayesian classifier based on a Gaussian mixture model (GMM) is used. The segmentations' results are validated by using the Jaccard index, which indicates the efficiency of the classifier.	2019	eng	Journal Article	United States	31306434	https://www.ncbi.nlm.nih.gov/pubmed/31306434	tuberculosis	-6133746337603876146
106	106	367	Ethnicity & disease	Achieving Health Equity with e-Healthystrides©: Patient Perspectives of a Consumer Health Information Technology Application.	e-Healthystrides© is effective for self-management behavior change. Participants showed the best success with healthy coping, healthy eating, and monitoring behaviors. They felt empowered by access to health information and valued interaction with coaches and peers. Our findings support strong relational/social network strategy with a role for coaches as guides (apomediaries) who facilitate skill acquisition using technology.	2019	eng	Journal Article	United States	31308611	https://www.ncbi.nlm.nih.gov/pubmed/31308611	diabetes	-6713697716910928909
107	107	138	Journal of virological methods	Analytical performances of the BD Veritor™ System for the detection of respiratory syncytial virus and influenzaviruses A and B when used at bedside in the pediatric emergency department.	This study aims to evaluate the analytical performance of the BD Veritor™ rapid diagnostic assays (RDTs) for respiratory syncytial virus (RSV) and influenzaviruses when performed 24/7 at bedside by nurses in the pediatric emergency department (PED). The study was performed between 14/10/2015 and 19/03/2016 on nasopharyngeal aspirates (NPAs) collected from children consulting at the PED of the University Hospital of Saint-Etienne for bronchiolitis (RSV detection) or flu-like syndrome (influenzaviruses A/B detection). NPAs were tested 24/7 at the PED with the RDT and then sent to the Infectious Agents Department for routine analyses, first by immunofluorescence assay (IFA), then by nucleic acid amplification test (NAAT) considered as the gold standard in case of discrepancy between RDT and IFA results. For RSV detection, 205 NPAs was analyzed; the overall concordance between RDT and routine assays was of 97.6% (200/205). The sensitivity (Se), specificity (Sp), negative predictive value (NPV) and positive predictive value (PPV) were of 97.6% (160/164), 97.6% (40/41), 90.9% (40/44) and 99.4% (160/161), respectively. A total of 419 NPA was tested for influenzaviruses. For influenzavirus A, the overall concordance was of 98.8% (414/419); Se, Sp, NPV and PPV were of 100% (41/41), 98.7% (373/378), 100% (373/373) and 89.1% (41/46), respectively. For influenzavirus B, the overall concordance was of 97.9% (410/419); Se, Sp, NPV and PPV were of 96.6% (172/178), 98.8% (238/241), 97.5% (238/244) and 98.3% (172/175), respectively. Due to their excellent performances and their easy handle by non-laboratory personnel, these RDTs can be warmly recommended as point of care assays at the PED.	2019	eng	Journal Article	Netherlands	31047969	https://www.ncbi.nlm.nih.gov/pubmed/31047969	flu	5191381587333696286
108	108	462	Diabetes, metabolic syndrome and obesity : targets and therapy	Metabolic syndrome is associated with peripheral endothelial dysfunction amongst men.		2019	eng	Journal Article	New Zealand	31308718	https://www.ncbi.nlm.nih.gov/pubmed/31308718	smoking	2900029983899283273
109	109	5	The Permanente journal	Pseudomyxoma Peritonei-An Unusual Cause of Ascites: A Case Report.	Pseudomyxoma peritonei is a rare cause of low SAAG ascites. It is characterized by the deposition of mucinous material on the peritoneal surfaces. The most common site of origin is the appendix, although it can arise from other intraabdominal organs as well. Excision of the tumor combined with intraperitoneal chemotherapy is the preferred modality of treatment.	2019	eng	Journal Article	United States	31314718	https://www.ncbi.nlm.nih.gov/pubmed/31314718	tuberculosis	4849766494522371290
110	110	196	Frontiers in oncology	Correlation Between the NLRP3 Inflammasome and the Prognosis of Patients With LSCC.		2019	eng	Journal Article	Switzerland	31312615	https://www.ncbi.nlm.nih.gov/pubmed/31312615	cancer	6200172800690402606
111	111	490	Medicine	Predicting recurrence of nonmuscle-invasive bladder cancer (Ta-T1): A study based on 477 patients.	The aim of this study was to determine clinical recrudescent risk factors of 477 patients with newly discovered nonmuscle-invasive bladder cancer (NMIBC) (Ta-T1) in our hospital, and based on these factors, to establish a recurrence risk prediction model of each NMIBC patient.This study included 477 patients with newly discovered NMIBC (Ta-T1) from January 2012 to December 2016; all patients were treated surgically by transurethral resection of bladder tumor (TURBT). The outcomes of patients were with or without recurrence within 2 years. The nomograms were based on Cox regression analyses, and the calibration curves were founded to evaluate the agreements of the predicted probability with the actual observed probability.Of the 477 patients with NMIBC, 392 were males (82.2%) and 85 were females (17.8%), with median age 64 years. Recurrence was identified in 327 cases (68.6%). The results showed that old age, female sex, smoking history, large size of tumor, multifocal tumors, high grade, and high stage are risk factors for NMIBC recurrence, whereas no significant association was seen between tumor location and recurrence in our study. Based on the results of Cox regression analyses, several independent risk factors, including smoking history, tumor size, multifocal, immediate infusion therapy, T stage, and tumor grade, were used to establish a nomogram to calculate the recurrence probability of each NMIBC patient, and the calibration curve displayed that this nomogram had a great value of prediction.Old age, female sex, smoking history, large size of tumor, multifocal tumors, high grade, and high stage are risk factors for NMIBC recurrence, whereas immediate infusion therapy is a protective factor. And a nomogram was established as a prediction model to calculate the recurrence probability of NMIBC patients.	2019	eng	Journal Article	United States	31305463	https://www.ncbi.nlm.nih.gov/pubmed/31305463	smoking	-3810375613673461625
112	112	754	Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology	The association between dietary antioxidants, oxidative stress markers, abdominal obesity and poly-cystic ovary syndrome: A case control study.	In this case-control study, 60 patients with Polycystic ovary syndrome (PCOS) referred to the Nursing and Midwifery Center of Khorramabad, were selected as the case group and 90 non-PCOS patients as the control group. Demographic information and anthropometric indices of each person were collected. The Food Frequency Questionnaire (FFQ) and International Physical Activity Questionnaire (IPAQ) were completed. After at least 12 h of fasting, 7 mL of blood samples were taken from the patients. There was no statistically significant difference observed in the mean of the total antioxidant capacity (TAC) between the two groups. However, a statistically significant difference was found between the two groups in terms of malondialdehyde (MDA) and some dietary antioxidants levels (mean in case group: vit C = 34/2 mg, vit E = 7/7 mg, Se = 84/6 µg, Zn = 7/5 mg, beta-carotene = 762/8 µg, mean in control group: vit C = 72/5 mg, vit E = 10/6 mg, Se = 91/0 µg, Zn = 10/6 mg, beta-carotene = 1609/5 µg). IMPACT STATEMENT 	2019	eng	Journal Article	England	31304805	https://www.ncbi.nlm.nih.gov/pubmed/31304805	obesity	-254088699629065171
113	113	268	Cell transplantation	Nanomedicine-based Curcumin Approach Improved ROS Damage in Best Dystrophy-specific Induced Pluripotent Stem Cells.	Best dystrophy (BD), also termed best vitelliform macular dystrophy (BVMD), is a juvenile-onset form of macular degeneration and can cause central visual loss. Unfortunately, there is no clear definite therapy for BD or improving the visual function on this progressive disease. The human induced pluripotent stem cell (iPSC) system has been recently applied as an effective tool for genetic consultation and chemical drug screening. In this study, we developed patient-specific induced pluripotent stem cells (BD-iPSCs) from BD patient-derived dental pulp stromal cells and then differentiated BD-iPSCs into retinal pigment epithelial cells (BD-RPEs). BD-RPEs were used as an expandable platform for 	2019	eng	Journal Article	United States	31313605	https://www.ncbi.nlm.nih.gov/pubmed/31313605	stress	-9171475473795142532
