 	Primary Angioplasty: Efficacy and Outcomes	Internationally ischaemic heart disease (IHD) is the single most common cause of death, and its frequency is increasing. The relative incidences of ST-elevation myocardial infarction (STEMI) and non-ST-elevation myocardial infarction (NSTEMI) are decreasing and increasing, respectively. In European countries, the incidence rate for STEMI ranges from 43 to 144 per 100,000 population per year. Similarly, the reported adjusted incidence rates from the USA decreased from 133 per 100,000 in 1999 to 50 per 100,000 in 2008, whereas the incidence of NSTEMI remained constant or increased slightly. STEMI is more common in younger than in older people and is more common in men than in women.	2019	eng	Review	 	31314430	https://www.ncbi.nlm.nih.gov/pubmed/31314430	heart+disease
Pediatric cardiology	Oral Triiodothyronine Supplementation Decreases Low Cardiac Output Syndrome After Pediatric Cardiac Surgery.	The oral triiodothyronine for infants and children undergoing cardiopulmonary bypass (OTICC) trial showed that Triiodothyronine (T3) supplementation improved hemodynamic and clinical outcome parameters. We tested the validity of low cardiac output syndrome (LCOS), derived using clinical parameters and laboratory data, by comparing the LCOS diagnosis with objective parameters commonly measured in a cardiac intensive care unit (CCU) setting. OTICC, a randomized, placebo-controlled trial included children younger than 3 years with an Aristotle score between 6 and 9. We used the existing trial data set to compare the LCOS diagnosis with echocardiographic hemodynamic parameters. Additionally, we determined if LCOS, prospectively assigned during a clinical trial, served as an early predictor of clinical outcomes. All LCOS subjects at 6 and 12 h after cross-clamp release later showed significantly lower pulse pressure, stroke volume and cardiac output, and higher systemic vascular resistance. These LCOS patients also had significantly longer time to extubation (TTE) and higher mortality rate. LCOS incidence was significantly lower in the T3 treatment group [n = 86 vs. 66, respectively, p < 0.001; OR (95% CI) 0.43 (0.36-0.52)] particularly at 6 h. Also, LCOS patients in the placebo group had significantly lower FT3 serum levels over time. These analyses confirm that early clinically defined LCOS successfully predicts cardiac dysfunction determined later by objective hemodynamic echocardiographic parameters. Furthermore, early LCOS significantly impacts TTE and mortality. Finally, the data support prior clinical trial data, showing that oral T3 supplementation decreases early LCOS in concordance with reducing TTE.	2019	eng	Journal Article	United States	31309235	https://www.ncbi.nlm.nih.gov/pubmed/31309235	heart+disease
JRSM cardiovascular disease	Performance of EuroSCORE II and logistic EuroSCORE in Bangladeshi population undergoing off-pump coronary artery bypass surgery: A prospective cohort study.	EuroSCORE has an important role in predicting the early, as well as late, postoperative outcomes following coronary artery bypass surgery. However, the performance of EuroSCORE II is significantly better than the original logistic EuroSCORE in predicting postoperative morbidity and mortality after isolated coronary artery bypass graft surgery among Bangladeshi patients.	2019	eng	Journal Article	England	31308937	https://www.ncbi.nlm.nih.gov/pubmed/31308937	heart+disease
Therapeutics and clinical risk management	Urinary orosomucoid: a new marker of cardiovascular risk in psoriatic patients?	There seems to be a connection between urinary ORM and cardiovascular risk. U-ORM and u-ORM/u-CREAT ratio could be used as an indicator of low-grade inflammation in mild and moderate psoriasis. However, it is the 10-year follow-up of cardiovascular events that will determine the usefulness of this biomarker panel.	2019	eng	Journal Article	New Zealand	31308681	https://www.ncbi.nlm.nih.gov/pubmed/31308681	heart+disease
NPJ primary care respiratory medicine	Incidence of type II diabetes in chronic obstructive pulmonary disease: a nested case-control study.	We investigated the incidence of type II diabetes mellitus (T2DM) among people with COPD and whether exposure to inhaled corticosteroid (ICS) and exacerbation status was associated with T2DM. This descriptive cohort study used primary care data from the Clinical Practice Research Datalink (CPRD). The patient cohort included people with a diagnosis of COPD and previous smoking history registered at a CPRD practice between January 2010 and December 2016. We determined incidence rates by age, gender and deprivation. Using a nested case-control design-where cases and controls are drawn from the cohort population-we matched 1:5 with patients by age, gender and GP practice and estimated odds of T2DM using logistic regression (adjusting for smoking status, deprivation, BMI, hypertension, coronary heart disease and heart failure). We identified 220,971 COPD patients; mean age at COPD diagnosis was 66 years (SD 12) and 54% were male. The incidence rate of T2DM in COPD patients was 1.26 per 100 patient years (95% CI: 1.24-1.28) and was higher among men (1.32 vs 1.18 among women). The adjusted odds ratio for T2DM was 1.47 (95% CI: 1.36-1.60) among frequent exacerbators (≥2 treated exacerbations per year) compared to infrequent exacerbators and the odds ratio for patients receiving high-dose ICS (>800 mcg budesonide equivalent dose) was 1.73 (95% CI 1.65-1.82) compared to patients receiving no ICS therapy. Incidence of T2DM among COPD patients is high and exposure to ICS and frequent exacerbations are associated with a higher risk of T2DM among patients with COPD.	2019	eng	Journal Article	England	31308364	https://www.ncbi.nlm.nih.gov/pubmed/31308364	heart+disease
Arerugi = [Allergy]	[TWO CASES OF USING DUPILUMAB FOR REFRACTORY ATOPIC DERMATITIS WHO HAD HISTORIES OF BACTEREMIA AND UNDERLYING CONGENITAL HEART DISEASE].	Defects in the skin's barrier function are known to make it more likely for skin and soft tissue infection to occur in association with atopic dermatitis. These secondary infections sometimes develop into systemic infections such as bacteremia. Here, we report on our use of anti-IL-4/13 monoclonal antibody (dupilumab) on two cases with atopic dermatitis that was refractory to conventional management techniques and who had a history of serious infection (bacteremia and associated sternal osteomyelitis, infective endocarditis) caused by Staphylococcus aureus. Both cases had underlying congenital heart disease. The dermatological symptoms of both cases showed marked improvement at 16 weeks after the start of dupilumab use. The use of dupilumab on atopic dermatitis may lead to less risk of infection of skin and soft tissues deveroping serious infections due to an underlying congenital disease. When determining the treatment strategy, the cooperation of specialists in a variety of fields as well as the primary care physician was important.	2019	jpn	Journal Article	Japan	31308337	https://www.ncbi.nlm.nih.gov/pubmed/31308337	heart+disease
Clinical medicine (London, England)	Lessons of the month 2: A forgotten cause of transient T-wave inversion.	A 19-year-old patient presented with severe chest pain, which is not typical for cardiac angina. However, his smoking history and the strong family history of ischaemic heart disease coupled with evidence of progressive T-wave changes on his electrocardiogram (ECG) caused dilemma in deciding further management. His blood tests were normal apart from hypophosphataemia, and he had two negative troponin results. His arterial blood gases showed respiratory alkalosis. He was given analgesia for a diagnosis of musculoskeletal chest pain and the next morning his ECG, arterial blood gases and phosphate levels all normalised. He had a normal echocardiogram and was reviewed by the cardiologist who diagnosed musculoskeletal chest pain which led to distress and hyperventilation causing hypophosphataemia and transient T-wave inversion. This case is a reminder of an under-recognised physiological phenomenon involving the cardiac conduction during hyperventilation.	2019	eng	Journal Article	England	31308117	https://www.ncbi.nlm.nih.gov/pubmed/31308117	heart+disease
International journal of cardiology	Non-vitamin K antagonist oral anticoagulants (NOACs) for thromboembolic prevention, are they safe in congenital heart disease? Results of a worldwide study.	Initial results from our worldwide prospective study suggest that NOACs are safe and may be effective for thromboembolic prevention in adults with heterogeneous forms of congenital heart disease.	2019	eng	Journal Article	Netherlands	31307847	https://www.ncbi.nlm.nih.gov/pubmed/31307847	heart+disease
Environmental health : a global access science source	Associations between short-term exposure to gaseous pollutants and pulmonary heart disease-related mortality among elderly people in Chengdu, China.	Increased concentrations of ambient SO	2019	eng	Journal Article	England	31307485	https://www.ncbi.nlm.nih.gov/pubmed/31307485	heart+disease
BMC health services research	PRIMEtime CE: a multistate life table model for estimating the cost-effectiveness of interventions affecting diet and physical activity.	This paper describes PRIMEtime CE and highlights its main strengths and limitations. The model can be used to compare any number of public policies affecting diet and physical activity, allowing decision makers to understand how they can maximise population health with limited financial resources.	2019	eng	Journal Article	England	31307442	https://www.ncbi.nlm.nih.gov/pubmed/31307442	heart+disease
World journal for pediatric & congenital heart surgery	Right Ventricular Dominance Is Associated With Inferior Outcomes After the Extracardiac Fontan.	In this contemporary, single-center cohort of EC Fontan patients, RVD was associated with inferior outcomes.	2019	eng	Journal Article	United States	31307314	https://www.ncbi.nlm.nih.gov/pubmed/31307314	heart+disease
World journal for pediatric & congenital heart surgery	Heart Transplantation in a Fontan Patient Using a Hepatitis C-Positive Donor.	A 38-year-old female with tricuspid atresia and normally related great arteries, initially palliated with Björk modified Fontan, and ultimately converted to extracardiac conduit Fontan, with a history of ventricular tachycardia and hepatitis C virus (HCV) treated with sofosbuvir/ledipasvir, was referred to our center for consideration of combined heart and liver transplantation. The patient's blood group was O with panel reactive antibodies of 52%. She consented to consideration of HCV-positive donors. Fifteen days later, an HCV-positive donor was identified, and she underwent heart transplantation with pulmonary artery reconstruction performed jointly by adult and pediatric transplant surgeons. To our knowledge, this the first time an HCV-positive donor heart has been to transplant an adult with congenital heart disease.	2019	eng	Journal Article	United States	31307313	https://www.ncbi.nlm.nih.gov/pubmed/31307313	heart+disease
World journal for pediatric & congenital heart surgery	Developing High Medical Technology, a Challenge for Developing Countries: The Percutaneous Closure of Atrial Septal Defects Using Nit-Occlud ASD-R: Early and Mid-term Results.	The Nit-Occlud ASD-R device is safe and effective with very good closure rates.	2019	eng	Journal Article	United States	31307309	https://www.ncbi.nlm.nih.gov/pubmed/31307309	heart+disease
World journal for pediatric & congenital heart surgery	Ten Years of Data Verification: The Society of Thoracic Surgeons Congenital Heart Surgery Database Audits.	The STS CHSD audit is a highly structured and reproducible process. The most recently completed audit documents a very high level of completeness and accuracy of data variables, particularly those most germane to outcomes measurement.	2019	eng	Journal Article	United States	31307308	https://www.ncbi.nlm.nih.gov/pubmed/31307308	heart+disease
World journal for pediatric & congenital heart surgery	The Association Between Cardiac Biomarker NT-proBNP and 30-Day Readmission or Mortality After Pediatric Congenital Heart Surgery.	In our two cohorts, preoperative and postoperative values of NT-proBNP were not significantly associated with readmission or mortality following pediatric congenital heart surgery. These findings will inform future studies evaluating multimarker risk assessment models in the pediatric population.	2019	eng	Journal Article	United States	31307305	https://www.ncbi.nlm.nih.gov/pubmed/31307305	heart+disease
World journal for pediatric & congenital heart surgery	Proceedings From the 3rd Symposium of the World Database for Pediatric and Congenital Heart Surgery.	The World Database for Pediatric and Congenital Heart Surgery was created to provide a resource for centers to be able to perform complex outcomes analyses of children undergoing repair of a congenital heart defect. In just under two years, the World Society for Pediatric and Congenital Heart Surgery (WSPCHS) has amassed over 13,000 procedures from 55 centers into the database. This Proceedings of the 3rd World Database Symposium held at the 6th Scientific Meeting of the WSPCHS summarizes the presentations of international experts in the fields of outcomes analysis and care of children with congenital heart surgery.	2019	eng	Journal Article	United States	31307301	https://www.ncbi.nlm.nih.gov/pubmed/31307301	heart+disease
World journal for pediatric & congenital heart surgery	Right Ventricular Morphology Is Associated With Mortality at All Stages of Single Ventricle Palliation.	 	2019	eng	Journal Article	United States	31307298	https://www.ncbi.nlm.nih.gov/pubmed/31307298	heart+disease
World journal for pediatric & congenital heart surgery	Staged Biventricular Repair After Hybrid Procedure in High-Risk Neonates and Infants.	Staged biventricular repair with the initial hybrid procedure may be a feasible and safe alternative in high-risk neonates and early infants. Hybrid intervention may provide the development of cardiac structures in time and a better evaluation for the possibility of biventricular repair in borderline patients.	2019	eng	Journal Article	United States	31307296	https://www.ncbi.nlm.nih.gov/pubmed/31307296	heart+disease
World journal for pediatric & congenital heart surgery	Association Between Postoperative Dexmedetomidine Use and Arrhythmias in Infants After Cardiac Surgery.	High-risk infants had decreased incidence of tachyarrhythmias when receiving dexmedetomidine, though this was not significant after accounting for baseline differences between groups.	2019	eng	Journal Article	United States	31307294	https://www.ncbi.nlm.nih.gov/pubmed/31307294	heart+disease
Journal of the American Heart Association	Erratum: Twenty-Year Predictors of Peripheral Arterial Disease Compared With Coronary Heart Disease in the Scottish Heart Health Extended Cohort (SHHEC).	[This corrects the article DOI: 10.1161/JAHA.117.005967.].	2017	eng	Published Erratum	England	31305790	https://www.ncbi.nlm.nih.gov/pubmed/31305790	heart+disease
Obstetric medicine	CORRIGENDUM to A case of successfully managed pregnancy in a patient with complex cyanotic congenital heart disease.	[This corrects the article DOI: 10.1177/1753495X16678487.].	2017	eng	Published Erratum	England	31305767	https://www.ncbi.nlm.nih.gov/pubmed/31305767	heart+disease
Medicine	Erratum: Association between peroxisome proliferator-activated receptor-alpha, delta, and gamma polymorphisms and risk of coronary heart disease: A case-control study and meta-analysis: Erratum.	[This corrects the article DOI: 10.1097/MD.0000000000004299.].	2017	eng	Published Erratum	United States	31305657	https://www.ncbi.nlm.nih.gov/pubmed/31305657	heart+disease
Psychoneuroendocrinology	Allostatic load in the association of depressive symptoms with incident coronary heart disease: The Jackson Heart Study.	African Americans are at heightened risk for coronary heart disease (CHD), with biologic pathways poorly understood. We examined the role of allostatic load (AL) in the association of depressive symptoms with incident CHD among 2,670 African American men and women in the prospective Jackson Heart Study. Depressive symptoms were quantified using the Center for Epidemiologic Studies Depression Scale (CES-D). Incident CHD was ascertained by self-report, death certificate survey, and adjudicated medical record surveillance. Baseline AL was quantified using biologic parameters of metabolic, cardiovascular, immune, and neuroendocrine subsystems and as a combined meta-factor. Sequential models adjusted for demographic, socioeconomic, and behavioral covariates, stratified to examine differences by sex. Greater depressive symptomatology was associated with greater metabolic, cardiovascular, and immune AL (p-values≤0.036) and AL meta-factor z-scores (p = 0.007), with findings driven by observations among females. Each 1-point increase in baseline depressive symptomatology, and 1-SD increase in metabolic AL, neuroendocrine AL, and AL meta-factor z-scores was associated with 3.3%, 88%, 39%, and 130% increases in CHD risk, respectively (p-values <0.001). Neuroendocrine AL and AL meta-factor scores predicted incident CHD among males but not females in stratified analyses. Metabolic AL partially mediated the association of depressive symptoms with incident CHD (5.79% mediation, p = 0.044), a finding present among females (p = 0.016) but not males (p = 0.840). Among African American adults, we present novel findings of an association between depressive symptomatology and incident CHD, partially mediated by metabolic AL. These findings appear to be unique to females, an important consideration in the design of targeted interventions for CHD prevention.	2019	eng	Journal Article	England	31307010	https://www.ncbi.nlm.nih.gov/pubmed/31307010	heart+disease
Seminars in thoracic and cardiovascular surgery	Brain development of children with single ventricle physiology or transposition of the great arteries: A longitudinal observation study.	Despite the current best practices, persistently lower TBV was seen in SV patients until 9 years of age. For both the SV and TGA groups, TBV at 3 years was a strong predictor of TBV at 9 years. Since there was a correlation between TBV and IQ at 9 years, identification of factors that affect brain growth until 3 years will be imperative to improve patients' cognitive function at school age.	2019	eng	Journal Article	United States	31306764	https://www.ncbi.nlm.nih.gov/pubmed/31306764	heart+disease
Acta psychiatrica Scandinavica	The association between depressive mood and ischemic heart disease: a twin study.	Genetic factors and early life environment do not seem to explain the association between depressive mood and ischemic heart disease. This article is protected by copyright. All rights reserved.	2019	eng	Journal Article	United States	31306494	https://www.ncbi.nlm.nih.gov/pubmed/31306494	heart+disease
PloS one	Development of a predictive score for potentially avoidable hospital readmissions for general internal medicine patients.	This study identified routinely-available factors that were significantly associated with PAR. A predictive score was derived and internally validated.	2019	eng	Journal Article	United States	31306461	https://www.ncbi.nlm.nih.gov/pubmed/31306461	heart+disease
Journal of cardiovascular pharmacology	Correlation of Inhaled Long-acting Bronchodilators with Adverse Cardiovascular Outcomes in Patients with Stable COPD: A Bayesian Network Meta-Analysis of Randomized Controlled Trials.	A majority of existing studies have focused on the efficacy of inhaled long-acting bronchodilators (ILABs), such as long-acting muscarinic antagonists (LAMAs) and long-acting β2-agonists (LABAs), and LABAs combined with LAMAs in treating chronic obstructive pulmonary disease (COPD). The current meta-analysis aimed to investigate the correlation of ILABs with specific cardiovascular adverse events (CAEs). Five electronic databases, including PubMed, Embase, Cochrane Library, Scopus and Web of Science, were systematically retrieved. Finally, 16 randomized controlled trials (RCTs) were enrolled into the current meta-analysis. Typically, the efficacy of 3 major classes of drugs (LABAs, LAMAs, as well as LABAs combined with LAMAs), as well as 7 specific drugs (including Formoterol, Glycopyrrolate, Indacaterol, Olodaterol, Salmeterol, Tiotropium, and Vilanterol) for 4 CAEs, including myocardial infarction (MI), cardiac failure (CF), ischemic heart disease (IHD) and stroke in stable COPD patients, was examined. All the pooled results were analyzed through the odds ratios (ORs) with the corresponding 95% confidence intervals (CIs). The direct meta-analysis results suggested that LABAs could increase the risk of CF in patients with stable COPD compared with placebo controls (OR 1.70, 95%CI 1.00-2.90). In addition, network meta-analysis results indicated that LAMAs combined with LABAs would result in an increased risk of CF in patients with stable COPD (OR 2.31, 95%CI 1.10-5.09). According to the ILABs specific drug analysis, Formoterol might potentially have protective effects on IHD compared with placebo controls (OR 0.45, 95%CI 0.18-1.00). In conclusion, among these three kinds of ILABs, including LAMAs, LABAs, and LABAs /LAMAs, for stable COPD patients, LAMAs and LABAs are associated with the least possibility to induce MI and stroke, respectively. However, the application of LABAs will probably increase the risk of CF, they should be used with caution for stable COPD patients with CF. In addition, in specific-drug analysis, the use of formoterol can reduce the risk of treatment-related IHD. Nevertheless, more studies on different drug doses are needed in the future to further validate this conclusion.	2019	eng	Journal Article	United States	31306366	https://www.ncbi.nlm.nih.gov/pubmed/31306366	heart+disease
Medicine	Factors affecting the occurrence of gastrointestinal bleeding in acute ischemic stroke patients.	Gastrointestinal bleeding (GIB) is a common complication that occurs after stroke, and GIB may negatively affect patient prognosis. In this study, we aimed to examine:(1) the risk factors of GIB in acute cerebral infarction patients;(2) association between GIB and 1-year mortality in patients with acute cerebral infarction.Patients with acute cerebral infarction were divided into 2 groups based on the occurrence of GIB during acute stroke stage. Patient characteristics, clinical presentation, stroke risk factors, comorbidities, laboratory data, medication, and outcomes were investigated to analyze the associations between the variables and the probability of having GIB. In addition, patients in the study were matched individually by age, gender. A 1:1 matched case-control method and conditional logistic regression models for single and multiple factors were used to assess the risk factors of GIB in acute cerebral infarction patients.Clinical data of patients with acute cerebral infarction were reviewed and analyzed during the years 2015 and 2016. Finally, 1662 patients with acute cerebral infarction were included in this study, of whom 139 (8.5%) patients had GIB at admission. Multivariate logistic regression analysis revealed that the independent risk factors for GIB in patients with acute cerebral infarction were advanced age (OR = 1.030, P = .009), low Glasgow Coma Scale (GSC) score (OR = 0.850, P = .014), infection (OR = 4.693, P < .001), high NIHSS score (OR = 1.114, P = .001), and posterior circulation infarction (OR = 4.981, P = .010). The case-control study ultimately included 136 case-control pairs. Stepwise conditional regression analyses revealed that the independent risk factors for GIB in patients with acute cerebral infarction were low Glasgow Coma Scale (GSC) score (RR = 0.645, P = .011), infection (RR = 15.326, P = .001), and posterior circulation infarction (RR = 6.129, P = .045). The group with GIB had a higher rate of mortality and disability level (mRS grade ≥ 4) than the group without GIB (P < .001) within 1 year after stroke. In addition, independent risk factors of death within 1 year after stroke in patients were GIB (OR = 6.096, P < .001), infection (OR = 4.493, P < .001), mRS grade ≥ 4 (OR = 4.129, P < .001), and coronary heart disease (OR = 3.718, P = .001).GIB is a common complication after ischemic stroke. These identified factors may help clinicians identify risks of GIB before it develops. GIB is associated with increased risk of 1-year mortality and poor functional outcome in acute cerebral infarction patients.	2019	eng	Journal Article	United States	31305417	https://www.ncbi.nlm.nih.gov/pubmed/31305417	heart+disease
Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies	Bioactive Oxylipins in Infants and Children With Congenital Heart Disease Undergoing Pediatric Cardiopulmonary Bypass.	In low-risk pediatric patients undergoing cardiopulmonary bypass, 9:13-hydroxyoctadecadienoic acid was associated with changes in plasma hemoglobin, vasoactive-inotropic score, and WBC count, and may be a risk factor for high vasoactive-inotropic score, indicating possible inflammatory and vasoactive effects. Further studies are warranted to delineate the role of hydroxyoctadecadienoic acids and plasma hemoglobin in cardiopulmonary bypass-related dysfunction and to explore hydroxyoctadecadienoic acid production as a potential therapeutic target.	2019	eng	Journal Article	United States	31305328	https://www.ncbi.nlm.nih.gov/pubmed/31305328	heart+disease
Journal of clinical gastroenterology	CHD is Associated With Higher Grades of NAFLD Predicted by Liver Stiffness.	High-grade NAFLD is more present in symptomatic CHD. The higher degree of liver stiffness in patients with NAFLD, the higher risk of CHD in these NAFLD patients.	2019	eng	Journal Article	United States	31305280	https://www.ncbi.nlm.nih.gov/pubmed/31305280	heart+disease
Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals	Association of galectin-3 with changes in left ventricular function in recent-onset dilated cardiomyopathy.	None	2019	eng	Journal Article	England	31305163	https://www.ncbi.nlm.nih.gov/pubmed/31305163	heart+disease
Cardiology in the young	Accuracy of a portable pulse oximeter in monitoring hypoxemic infants with cyanotic heart disease.	Both devices tended to overestimate oxygen saturation in this patient population when compared to the gold standard, co-oximetry. The study device is at least as accurate as the hospital device and offers the advantage of being more portable with Bluetooth technology that allows reliable, efficient data transmission. Currently FDA-approved, smaller portable pulse oximeters can be considered for use in home monitoring programmes.	2019	eng	Journal Article	England	31304897	https://www.ncbi.nlm.nih.gov/pubmed/31304897	heart+disease
Journal of clinical hypertension (Greenwich, Conn.)	Association of interarm blood pressure difference with cardio-cerebral vascular disease: A community-based, cross-sectional study.	Interarm blood pressure difference (IAD) is a risk factor for peripheral artery disease and cardio-cerebral vascular disease (CCVD). The current study examines the association of IAD with stroke and coronary heart disease in a Chinese community. A cross-sectional study was conducted in Pudong New Area in Shanghai, China. A total of 10 657 residents aged 15 years and older were randomly selected through three-stage sampling. Volunteers had systolic and diastolic blood pressure (BP) measured in both arms at recruitment, and IAD was defined in both arms as the absolute difference in BP. Medical records of study participants were reviewed by investigators to confirm measurements. Logistic regression models were used to assess the association between systolic interarm blood pressure difference (sIAD) and diastolic interarm blood pressure difference (dIAD) with stroke and coronary heart disease. Compared with dIAD <5 mm Hg, the multivariate adjusted odds ratio (OR) of stroke prevalence was 1.357 (95% CI 0.725-2.542, P = 0.034) for dIAD ≥20 mm Hg and 1.702 (95% CI1.025-2.828, P = 0.040) for dIAD between 15 and 19 mm Hg, and the multivariate adjusted OR of coronary heart disease prevalence was 1.726 (95% CI 1.093-2.726, P = 0.019) for dIAD ≥20 mm Hg and 1.498 (95% CI 0.993-2.261, P = 0.044) for dIAD between 15 and 19 mm Hg. The relationship between cardio-cerebral vascular disease and dIAD was significant in a Chinese community population. Further cohort studies are needed to investigate the association of different levels of IAD with the incidence of cardiovascular and cerebrovascular diseases and subsequent mortality.	2019	eng	Journal Article	United States	31304684	https://www.ncbi.nlm.nih.gov/pubmed/31304684	heart+disease
NPJ digital medicine	Impact of predictive medicine on therapeutic decision making: a randomized controlled trial in congenital heart disease.	Computational modelling has made significant progress towards clinical application in recent years. In addition to providing detailed diagnostic data, these methods have the potential to simulate patient-specific interventions and to predict their outcome. Our objective was to evaluate to which extent patient-specific modelling influences treatment decisions in coarctation of the aorta (CoA), a common congenital heart disease. We selected three cases with CoA, two of which had borderline indications for intervention according to current clinical guidelines. The third case was not indicated for intervention according to guidelines. For each case, we generated two separate datasets. First dataset included conventional diagnostic parameters (echocardiography and magnetic resonance imaging). In the second, we added modelled parameters (pressure fields). For the two cases with borderline indications for intervention, the second dataset also included pressure fields after virtual stenting simulations. All parameters were computed by modelling methods that were previously validated. In an online-administered, invitation-only survey, we randomized 178 paediatric cardiologists to view either conventional (control) or add-on modelling (experimental) datasets. Primary endpoint was the proportion of participants recommending different therapeutic options: (1) surgery or catheter lab (collectively, "intervention") or (2) no intervention (follow-up with or without medication). Availability of data from computational predictive modelling influenced therapeutic decision making in two of three cases. There was a statistically significant association between group assignment and the recommendation of an intervention for one borderline case and one non-borderline case: 94.3% vs. 72.2% (RR: 1.31, 95% CI: 1.14-1.50, 	2019	eng	Journal Article	England	31304365	https://www.ncbi.nlm.nih.gov/pubmed/31304365	heart+disease
NPJ digital medicine	Fast and accurate medication identification.	Much of the AI work in healthcare is focused around disease prediction in clinical settings, which is an important application that has yet to deliver in earnest. However, there are other fundamental aspects like helping patients and care teams interact and communicate in efficient and meaningful ways, which could deliver quadruple-aim improvements. After heart disease and cancer, preventable medical errors are the third leading cause of death in the United States. The largest subset of medical errors is medication error. Providing the right treatment plan for patients includes knowledge about their current medications and drug allergies, an often challenging task. The widespread growth of prescribing and consuming medications has increased the need for applications that support medication reconciliation. We show a deep-learning application that can help reduce avoidable errors with their attendant risk, i.e., correctly identifying prescription medication, which is currently a tedious and error-prone task. We demonstrate prescription-pill identification from mobile images in the NIH NLM Pill Image Recognition Challenge dataset. Our application recognizes the correct pill within the top-5 results at 94% accuracy, which compares favorably to the original competition winner at 83.3% for top-5 under comparable, though not identical configurations. The Institute of Medicine claims that better use of information technology can be an important step in reducing medication errors. Therefore, we believe that a more immediate impact of AI in healthcare will occur with a seamless integration of AI into clinical workflows, readily addressing the quadruple aim of healthcare.	2019	eng	Journal Article	England	31304359	https://www.ncbi.nlm.nih.gov/pubmed/31304359	heart+disease
The Pan African medical journal	[Marginal Féréol-Besnier erythema: rare manifestation during acute articular rhumatism].	This study reports the case of a 3-year old female child with a 1-year history of rash manifesting as discoid plaques with pink, non-itchy, rounded and oval, polycyclic, confluent macular areas measuring 1-3 cm in diameter, with central clearing evolving in stages, with repeated regression and reappearance. The child was admitted to the Emergency Department with respiratory distress, fever and aggravation of pre-existing skin lesions becoming diffuse. Mitral holosystolic murmur with an intensity of grade 4/6 was recorded by cardiac auscultation. Cardiac ultrasound showed acute massive mitral insufficiency with valvular vegetations. Laboratory tests showed inflammation with a CRP level of 300 mg/l and a sedimentation rate of 60 mm in the first hour and ASLO levels were very high (1600 IU/ml). The diagnosis of infectious endocarditis due to valvular rheumatic heart disease was retained. After stabilization, antibiotic therapy and mitral valve surgery in emergency, the dermatological lesions regressed in a few days but the haemodynamic condition of the child deteriorated rapidly with sudden death. Besnier erythema is a rare cutaneous manifestation of acute articular rhumatism. Physicians should not neglect this rare but useful clinical sign, especially in patients with subclinical valvular involvement in order to avoid potential late cardiac complications. The three differential diagnoses included: ringworm, urticaria, and erythema due to hereditary angioedema.	2019	fre	Journal Article	Uganda	31303907	https://www.ncbi.nlm.nih.gov/pubmed/31303907	heart+disease
Clinical nutrition (Edinburgh, Scotland)	Dietary vs. pharmacological doses of zinc: A clinical review.	Zinc deficiency has a global impact on health in both developing and developed countries, especially among children and the elderly. By modulating anti-inflammatory and antioxidant pathways, zinc supplementation is recommended for the treatment of several ailments, such as liver disease, male hypogonadism, cancers, heart disease (e.g. dyslipidemia) and central nervous system disorders; however, the topic of dietary vs. pharmacological doses of zinc remains controversial. This paper provides a detailed critical review of the effects of zinc supplementation in medicinal doses (i.e. >40 mg/d of elemental zinc) on human health. We further highlight the difficulty in achieving a therapeutic dose of zinc from foodstuffs.	2019	eng	Review	England	31303527	https://www.ncbi.nlm.nih.gov/pubmed/31303527	heart+disease
Enfermeria clinica	Outpatient nursing care implementations in Indonesian regional public hospitals.	The implementation of care that is not optimal can result in a decrease in patient satisfaction and safety. The support of hospital management is needed to facilitate the availability of adequate nursing resources (both quantity and quality) and to provide equipment, facilities, and logistics to optimize nursing care.	2019	spa	Journal Article	Spain	31303518	https://www.ncbi.nlm.nih.gov/pubmed/31303518	heart+disease
International journal of cardiology	Lipid levels achieved after a first myocardial infarction and the prediction of recurrent atherosclerotic cardiovascular disease.	Our data question the importance of LDL-C levels achieved at first revisit post-MI for decisions on continued treatment intensity considering the weak association with rASCVD observed in this post-MI cohort.	2019	eng	Journal Article	Netherlands	31303394	https://www.ncbi.nlm.nih.gov/pubmed/31303394	heart+disease
